iter	Logloss
0	0.6915942597
1	0.6905592472
2	0.6893091385
3	0.6883081828
4	0.6874052073
5	0.6868990533
6	0.6862756654
7	0.6856753884
8	0.6851892966
9	0.6847073715
10	0.6842717382
11	0.6838929697
12	0.6836012479
13	0.6833990953
14	0.6831483882
15	0.6829529689
16	0.6828156693
17	0.6825843619
18	0.6824326356
19	0.6823615104
20	0.6821443764
21	0.6820460581
22	0.6818962597
23	0.6817331102
24	0.6816138034
25	0.6815036923
26	0.6813819769
27	0.6812653349
28	0.681194565
29	0.6810394018
30	0.6809030284
31	0.6807624808
32	0.6806933188
33	0.6805199406
34	0.68041038
35	0.6803070211
36	0.6802325979
37	0.6801520415
38	0.680066657
39	0.6799883354
40	0.6798874577
41	0.6798064942
42	0.6797582501
43	0.679702626
44	0.6796346813
45	0.6795614841
46	0.6794132343
47	0.6792883785
48	0.6791946602
49	0.6791371679
50	0.6790862938
51	0.6790171104
52	0.678926188
53	0.6788581405
54	0.6787640342
55	0.6786747574
56	0.6785838848
57	0.6784806374
58	0.6783987575
59	0.6782899688
60	0.6782433246
61	0.6781766512
62	0.6780742181
63	0.6779554321
64	0.6779162266
65	0.6778076686
66	0.6777686435
67	0.6777277657
68	0.6776623869
69	0.6776078388
70	0.6775513188
71	0.677482305
72	0.6774231717
73	0.6773927797
74	0.6773759216
75	0.6773242653
76	0.6772879248
77	0.6772676698
78	0.6772122819
79	0.6771377668
