iter	Passed	Remaining
0	2	184
1	4	179
2	8	209
3	11	220
4	14	218
5	17	212
6	20	209
7	24	221
8	27	217
9	30	211
10	33	210
11	37	210
12	39	203
13	42	198
14	44	192
15	48	195
16	51	190
17	53	185
18	56	180
19	61	183
20	64	180
21	67	177
22	69	171
23	73	172
24	76	169
25	79	164
26	81	160
27	84	156
28	87	153
29	90	151
30	93	147
31	95	143
32	98	140
33	102	138
34	105	135
35	107	131
36	110	128
37	114	126
38	117	123
39	120	120
40	122	116
41	126	114
42	129	111
43	131	107
44	134	104
45	137	101
46	140	98
47	143	95
48	146	92
49	148	89
50	150	85
51	154	83
52	158	80
53	160	77
54	163	74
55	165	70
56	168	68
57	171	65
58	174	62
59	177	59
60	181	56
61	184	53
62	187	50
63	189	47
64	192	44
65	196	41
66	199	38
67	202	35
68	205	32
69	209	29
70	212	26
71	215	23
72	217	20
73	221	17
74	224	14
75	228	12
76	231	9
77	234	6
78	239	3
79	242	0
